                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache accesses               |       1816 |       1978 |       2167 |       2607 |       2486 |       2176 |       2461 |       2513 |       2432 |       2573 |       1817 |       2451 |       2518 |       2172 |       2416 |       2515
    num cache misses                 |        806 |        855 |        968 |       1262 |       1250 |        991 |       1171 |       1159 |       1110 |       1116 |        828 |       1076 |       1047 |        950 |       1153 |       1122
    miss rate                        |     44.38% |     43.23% |     44.67% |     48.41% |     50.28% |     45.54% |     47.58% |     46.12% |     45.64% |     43.37% |     45.57% |     43.90% |     41.58% |     43.74% |     47.72% |     44.61%
    mpki                             |       3.66 |       3.85 |       4.33 |       5.58 |       5.51 |       4.43 |       5.19 |       5.13 |       4.92 |       4.92 |       3.77 |       4.77 |       4.62 |       4.25 |       5.12 |       4.94
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         97 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     125.85 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      72.42 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          4 |          4 |          3 |          3 |          6 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        535 |        564 |        645 |        842 |        798 |        643 |        769 |        762 |        734 |        738 |        568 |        732 |        693 |        641 |        746 |        709
