                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11018 |      11021 |      11012 |      11021 |      11010 |      11021 |      11012 |      11021 |      11021 |      11021 |      11016 |      11012 |      11021 |      11021 |      11012 |      11021
    num cache misses                 |         16 |         16 |         16 |         16 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.15% |      0.15% |      0.15% |      0.15% |      0.14% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.10 |       0.10 |       0.10 |       0.12 |       0.08 |       0.10 |       0.10 |       0.10 |       0.09 |       0.10 |       0.10 |       0.10 |       0.12 |       0.09 |       0.11 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      84014 |      88981 |      88964 |      76999 |      99448 |      90481 |      85454 |      87490 |      96475 |      83986 |      88972 |      88952 |      76495 |      96481 |      78977 |      86476
    num cache misses                 |        817 |        919 |        919 |        769 |        999 |        930 |        907 |        878 |        998 |        859 |        934 |        926 |        739 |        973 |        793 |        910
    miss rate                        |      0.97% |      1.03% |      1.03% |      1.00% |      1.00% |      1.03% |      1.06% |      1.00% |      1.03% |      1.02% |      1.05% |      1.04% |      0.97% |      1.01% |      1.00% |      1.05%
    mpki                             |       5.34 |       5.64 |       5.64 |       5.53 |       5.43 |       5.61 |       5.82 |       5.49 |       5.61 |       5.62 |       5.73 |       5.69 |       5.36 |       5.47 |       5.55 |       5.76
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |        938 |       1064 |       1056 |        885 |       1144 |       1073 |       1057 |       1010 |       1131 |        993 |       1087 |       1070 |        862 |       1115 |        913 |       1060
    num cache misses                 |        833 |        935 |        935 |        785 |       1014 |        946 |        923 |        894 |       1014 |        875 |        950 |        942 |        755 |        989 |        809 |        926
    miss rate                        |     88.81% |     87.88% |     88.54% |     88.70% |     88.64% |     88.16% |     87.32% |     88.51% |     89.66% |     88.12% |     87.40% |     88.04% |     87.59% |     88.70% |     88.61% |     87.36%
    mpki                             |       5.45 |       5.74 |       5.74 |       5.65 |       5.52 |       5.70 |       5.92 |       5.59 |       5.70 |       5.72 |       5.83 |       5.79 |       5.47 |       5.56 |       5.66 |       5.86
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |        938 |       1064 |       1056 |        885 |       1144 |       1073 |       1057 |       1010 |       1131 |        993 |       1087 |       1070 |        862 |       1115 |        913 |       1060
    num cache misses                 |        437 |        495 |        503 |        399 |        563 |        514 |        494 |        454 |        519 |        480 |        504 |        516 |        410 |        532 |        412 |        492
    miss rate                        |     46.59% |     46.52% |     47.63% |     45.08% |     49.21% |     47.90% |     46.74% |     44.95% |     45.89% |     48.34% |     46.37% |     48.22% |     47.56% |     47.71% |     45.13% |     46.42%
    mpki                             |       2.86 |       3.04 |       3.09 |       2.87 |       3.06 |       3.10 |       3.17 |       2.84 |       2.92 |       3.14 |       3.09 |       3.17 |       2.97 |       2.99 |       2.88 |       3.12
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         71 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     185.90 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     132.47 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          2 |          2 |          3 |          2 |          3 |          2 |          3 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        221 |        257 |        252 |        188 |        267 |        265 |        262 |        240 |        269 |        237 |        280 |        266 |        212 |        264 |        222 |        260
